title,date,time_open,time_start,time_end,venue,advance,door,performer,url,streaming_url,streaming_price,preSaleStart,preSaleEnd,general
ボニータ新ネタライブ,2026-09-10,21:15,21:30,22:30,新宿バッシュ!!,"2,000(当日払い)",,ボニータ / さすらいラビー / 春組織 / インテイク / わっきゃい,https://x.gd/keWiU,,,,,2026-08-30T23:10:00
武蔵野芸能劇場で#ワイガヤ,2026-08-31,19:00,19:15,21:15,武蔵野芸能劇場,"2,500(当日払い)",,オッパショ石 / カフカノ / キュウ / 金の国 / 小海のムニエル / ザ・ギース / さんだる / Gパンパンダ / シティホテル3号室 / センチネル / 定点計画 / 伝書鳩 / 人間横丁 / ハマノとヘンミ / ひつじねいり / ファイヤーサンダー / ペ / ガクヅケ / さすらいラビー / ザ・マミィ / ジグザグジギー / インテイク,https://x.gd/mWybS,,,,,
漫ドリル,2026-10-12,19:45,20:00,21:00,新宿ハイジアV-1,"2,500","3,000",入間国際宣言 / イワサキ / インテイク / 演芸おんせん / 世襲 / 畑・前島ペア / フランツ / ライオンロック / イチゴ,https://x.gd/2pyGT,,,,,2026-09-01T22:55:00
ろくろっ首,2026-10-26,21:15,21:30,22:30,高円寺ジュンジョー,"2,200",,インテイク / 小虎 / センチネル / 無尽蔵,https://x.gd/7CFme,,,,,2026-09-01T23:20:00
積,2026-10-04,19:45,20:00,21:10,武蔵野芸能劇場,"2,200",,インテイク / TCクラクション / ストレッチーズ,https://x.gd/bfRQW,,,,,2026-09-01T23:10:00
ダイタクの即漫倶楽部,2026-09-27,16:15,16:30,18:00,大宮ラクーンよしもと劇場,"2,000","2,300",ダイタク／インテイク,https://x.gd/RfQ6v,https://x.gd/7dfdw,"1,300",,,
