予定タイトル,終日/非終日,開始日時,終了日時,予約投稿日時,削除予約日時,繰り返し条件,繰り返し終了日,ラベル,説明,場所,GoogleMap URL,URL
ダイタクトークライブ「わかってもらえるさ」,非終日,2026-09-27 18:30,2026-09-27 19:30,,,,,1,"開場：18:15
前売：1,800円
当日：2,100円
出演：ダイタク／インテイク
配信料金：1,300円
配信URL：https://x.gd/0WMsZ",大宮ラクーンよしもと劇場,,https://x.gd/Sf6Rz
つちふまズが齋藤にインテイクを紹介するライブ,非終日,2026-11-23 14:00,2026-11-23 15:00,,,,,1,"開場：13:30
前売：1,500円
出演：齋藤のようなもの ゲスト：つちふまズ、インテイク
一般発売：2026-09-18 10:00",演劇専用小劇場BLOCH,,https://x.gd/49sbU
齋藤がつちふまズとインテイクをおもてなしするライブ,非終日,2026-11-23 17:00,2026-11-23 18:00,,,,,1,"開場：16:30
前売：1,500円
出演：齋藤のようなもの ゲスト：つちふまズ、インテイク
一般発売：2026-09-18 10:00",演劇専用小劇場BLOCH,,https://x.gd/WhQKJ5
なぞの芸能小劇場3,非終日,2026-10-01 19:30,2026-10-01 21:20,,,,,1,"開場：19:10
前売：2,500(当日支払)
出演：インテイク / サツマカワRPG / ストレッチーズ / ピュート / ヤッホイ / リバーマン",なかの芸能小劇場,,https://x.gd/XDC2r
